mass1 	 log posteriorMass1 	 mass2 	 log posteriorMass2
38.3	1.10904235544e-19	38.3	4.39366706638e-168
38.4	5.13980990773e-24	38.4	2.19893965389e-125
38.5	5.5572242203e-17	38.5	2.18503184901e-168
38.6	1.57735007802e-17	38.6	2.31667142476e-143
38.7	3.46736974478e-14	38.7	1.0291771991e-180
38.8	6.35680375957e-37	38.8	2.19743825667e-159
38.9	6.72286038472e-21	38.9	4.15782876018e-162
39.0	3.33753159165e-44	39.0	1.61234094064e-164
39.1	1.6536544687e-34	39.1	3.64538482518e-172
39.2	5.53236552765e-18	39.2	3.33345936586e-167
39.3	9.7746575234e-41	39.3	3.31445094832e-97
39.4	3.7342692221e-21	39.4	1.30749391312e-150
39.5	4.72234449968e-19	39.5	1.10853161891e-112
39.6	8.00317039944e-29	39.6	7.37265761394e-135
39.7	1.21011436452e-22	39.7	8.90842830528e-109
39.8	7.05859894558e-44	39.8	2.75952540943e-148
39.9	1.80768722014e-35	39.9	5.03334960396e-152
40.0	9.76167941902e-87	40.0	2.49952687451e-192
40.1	8.31896607741e-31	40.1	1.06270935022e-170
40.2	4.42689878157e-35	40.2	1.6121805661e-129
40.3	1.62236603805e-64	40.3	4.76056121969e-170
40.4	6.66886489175e-54	40.4	1.70193380489e-210
40.5	1.58710911033e-63	40.5	3.7935618462e-204
40.6	5.16750675265e-56	40.6	1.69768204144e-194
40.7	1.72304464614e-47	40.7	4.00118311217e-187
40.8	2.70490322164e-87	40.8	4.1655841428e-227
40.9	6.63771019825e-109	40.9	4.21029832614e-175
41.0	3.85251152234e-98	41.0	3.81996056162e-199
41.1	1.18555076479e-80	41.1	3.2115562484e-167
41.2	3.42062716266e-62	41.2	8.52775818692e-99
41.3	2.16250385561e-115	41.3	9.55709543794e-151
41.4	1.78584738131e-107	41.4	2.69608944516e-116
41.5	2.0352519102e-91	41.5	1.26072539704e-157
41.6	1.46741750021e-77	41.6	2.68479681227e-153
41.7	2.84942043717e-82	41.7	2.36929062567e-159
41.8	1.10336268226e-92	41.8	2.7608858335e-208
41.9	1.64431431065e-112	41.9	4.45653612765e-206
42.0	3.22468896991e-130	42.0	1.11658694088e-188
42.1	8.85768572643e-104	42.1	1.32165018482e-191
42.2	1.50868471287e-125	42.2	1.29469320912e-166
42.3	2.23397353218e-125	42.3	1.63376909445e-125
42.4	1.33144870474e-125	42.4	1.17250044033e-212
42.5	3.24201931791e-132	42.5	7.29708051464e-237
42.6	3.18746708989e-110	42.6	1.37668336003e-204
42.7	1.28863870337e-142	42.7	2.2241562742e-118
42.8	1.79663749842e-116	42.8	2.31844265294e-100
42.9	8.63084376538e-116	42.9	1.21932917199e-183
43.0	2.36998228926e-150	43.0	2.49816009247e-128
43.1	2.73047130221e-140	43.1	1.78888673383e-139
43.2	5.85789060142e-146	43.2	5.73757229929e-218
