log Posterior Distribution 	 m1 	 m2
1950302.37122	43.0	23.0
1950325.80488	43.0	24.0
1950362.22918	43.0	25.0
1950405.8822	43.0	26.0
1950446.88383	43.0	27.0
1950674.63644	43.0	28.0
1950506.51749	43.0	29.0
1950279.28668	43.0	30.0
1950539.0828	43.0	31.0
1950562.62985	43.0	32.0
1950545.56684	43.0	33.0
1950435.09334	43.0	34.0
1950540.06428	43.0	35.0
1950512.89176	43.0	36.0
1950495.07516	43.0	37.0
1950474.73967	43.0	38.0
1950452.6479	43.0	39.0
1950523.50334	43.0	40.0
1950488.75149	43.0	41.0
1950451.40975	43.0	42.0
1950447.12764	44.0	20.0
1950328.59971	44.0	21.0
1950261.34045	44.0	22.0
1950237.46257	44.0	23.0
1950248.80232	44.0	24.0
1950283.37323	44.0	25.0
1950587.17018	44.0	26.0
1950411.37169	44.0	27.0
1950629.70592	44.0	28.0
1950428.99895	44.0	29.0
1950452.52808	44.0	30.0
1950469.59593	44.0	31.0
1950478.78112	44.0	32.0
1950481.0178	44.0	33.0
1950208.09433	44.0	34.0
1950471.43341	44.0	35.0
1950460.95653	44.0	36.0
1950447.40908	44.0	37.0
1950410.95877	44.0	38.0
1950432.91201	44.0	39.0
1950396.05542	44.0	40.0
1950486.62026	44.0	41.0
1950356.76034	44.0	42.0
1950337.42794	44.0	43.0
1950577.47549	45.0	20.0
1950421.93197	45.0	21.0
1950314.71598	45.0	22.0
1950260.42726	45.0	23.0
1950249.18804	45.0	24.0
1950661.43083	45.0	25.0
1950284.36001	45.0	26.0
1950557.40352	45.0	27.0
1950342.85667	45.0	28.0
1950368.75298	45.0	29.0
1950391.51833	45.0	30.0
1950556.63699	45.0	31.0
1950417.59513	45.0	32.0
1950422.40074	45.0	33.0
1950484.32397	45.0	34.0
1950161.90509	45.0	35.0
1950412.89748	45.0	36.0
1950503.47764	45.0	37.0
1950392.0792	45.0	38.0
1950378.94575	45.0	39.0
1950364.15248	45.0	40.0
1950485.08414	45.0	41.0
1950335.26469	45.0	42.0
1950478.8722	45.0	43.0
1950301.79722	45.0	44.0
1950745.10292	46.0	20.0
1950674.06475	46.0	21.0
1950645.31992	46.0	22.0
1950332.29669	46.0	23.0
1950308.20803	46.0	24.0
1950284.29774	46.0	25.0
1950281.06162	46.0	26.0
1950291.20382	46.0	27.0
1950307.96015	46.0	28.0
1950326.71362	46.0	29.0
1950341.61662	46.0	30.0
1950582.06528	46.0	31.0
1950364.04407	46.0	32.0
1950371.52035	46.0	33.0
1950374.35414	46.0	34.0
1950373.84097	46.0	35.0
1950490.35366	46.0	36.0
1950364.60015	46.0	37.0
1950356.71779	46.0	38.0
1950353.10149	46.0	39.0
1950435.96984	46.0	40.0
1950323.14354	46.0	41.0
1950310.7363	46.0	42.0
1950298.27374	46.0	43.0
1950285.9188	46.0	44.0
1950454.52973	46.0	45.0
1950903.31193	47.0	20.0
1950660.04254	47.0	21.0
1950614.57452	47.0	22.0
1950491.87062	47.0	23.0
1950399.86744	47.0	24.0
1950340.69839	47.0	25.0
1950308.96413	47.0	26.0
1950296.75841	47.0	27.0
1950294.68906	47.0	28.0
1950564.97112	47.0	29.0
1950309.45575	47.0	30.0
1950317.82016	47.0	31.0
1950758.12482	47.0	32.0
1950331.24044	47.0	33.0
1950334.83314	47.0	34.0
1950662.79433	47.0	35.0
1950157.18168	47.0	36.0
1950331.59164	47.0	37.0
1950514.17913	47.0	38.0
1950329.954	47.0	39.0
1950310.36253	47.0	40.0
1950301.28271	47.0	41.0
1950291.70588	47.0	42.0
1950281.73748	47.0	43.0
1950472.42833	47.0	44.0
1950261.19406	47.0	45.0
1950427.30093	47.0	46.0
1951000.68871	48.0	20.0
1950903.13939	48.0	21.0
1950685.5386	48.0	22.0
1950629.76207	48.0	23.0
1950504.69999	48.0	24.0
1950418.04076	48.0	25.0
1950631.25763	48.0	26.0
1950579.73068	48.0	27.0
1950304.67319	48.0	28.0
1950295.25231	48.0	29.0
1950293.21757	48.0	30.0
1950548.91843	48.0	31.0
1950515.70491	48.0	32.0
1950302.78598	48.0	33.0
1950305.56611	48.0	34.0
1950307.07116	48.0	35.0
1950306.98573	48.0	36.0
1950304.83802	48.0	37.0
1950300.9289	48.0	38.0
1950507.76661	48.0	39.0
1950289.89086	48.0	40.0
1950283.08357	48.0	41.0
1950275.60343	48.0	42.0
1950433.94584	48.0	43.0
1950258.7139	48.0	44.0
1950219.44909	48.0	45.0
1950242.09136	48.0	46.0
1950234.5039	48.0	47.0
1951001.54585	49.0	20.0
1950967.99687	49.0	21.0
1950861.45454	49.0	22.0
1950731.20158	49.0	23.0
1950638.74621	49.0	24.0
1950560.66971	49.0	25.0
1950425.75385	49.0	26.0
1950369.23284	49.0	27.0
1950330.85425	49.0	28.0
1950307.59113	49.0	29.0
1950294.81151	49.0	30.0
1950288.00893	49.0	31.0
1950287.03007	49.0	32.0
1950286.83211	49.0	33.0
1950287.42357	49.0	34.0
1950288.23893	49.0	35.0
1950558.26655	49.0	36.0
1950285.04846	49.0	37.0
1950282.20232	49.0	38.0
1950278.54696	49.0	39.0
1950274.00288	49.0	40.0
1950268.41113	49.0	41.0
1950427.53583	49.0	42.0
1950497.51445	49.0	43.0
1950465.78546	49.0	44.0
1950241.053	49.0	45.0
1950462.94213	49.0	46.0
1950227.4905	49.0	47.0
1950387.43484	49.0	48.0
