L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
2.59088104476615e+00	1.04139949892138e+00	1.04788439935484e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.52492553760425e-01	7.15161953277688e-01	2.16546377294979e+01	-7.62401832324180e-02	-2.82554729743416e-01	8.22050603200296e-01	8.22050603200296e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00979168551849e+03	1.32747283076567e+01	7.09916061156007e+00	-6.23930102859382e+00	1.30842816368862e+00	1.04788439935484e+00	1.94598744655932e+00	7.94735327189102e-01	4.35223862724959e+00	2.38304619370987e+00	0.00000000000000e+00	8.06533473272693e-01	1.64294189701854e+00	1.00000000000000e+00	2.04901283196293e+00	2.22401925963506e+00	1.12849707789702e+09	
2.37932859190397e+00	-9.12621491793045e-01	2.14324221092099e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.87373954944503e-01	6.18625419919161e-01	1.71918183020216e+01	7.54325106145901e-01	1.07403231808412e+00	8.22474019261790e-01	8.22474019261790e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00979126210243e+03	1.35908888605903e+01	7.23268452911659e+00	-9.17762368388441e+00	1.45537335477266e+00	2.14324221092099e+00	4.33005022433017e+00	4.77797187605559e+00	5.39663832371322e+00	1.22563188371162e+00	0.00000000000000e+00	1.65674885773874e-01	1.91513021781352e+00	1.00000000000000e+00	8.58405598832076e-01	5.30793830963357e-01	1.12849707797051e+09	
1.36409821908670e+00	-3.44503984214048e-01	1.31558408570784e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.45207202202462e-01	5.37293239444969e-01	1.92377906060446e+01	-2.26167531439240e-02	-1.18288611805100e+00	8.23760838297403e-01	8.23760838297403e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978997528339e+03	1.23042945644990e+01	7.26381593659605e+00	-8.55924809396450e+00	1.28394801969079e+00	1.31558408570784e+00	5.82194562620870e+00	4.16528040116180e+00	5.13933302107336e-01	1.73839392587625e+00	0.00000000000000e+00	8.12301527239801e-01	5.60323443927279e+00	1.00000000000000e+00	2.07187224306206e+00	8.38641604038891e-01	1.12849707787600e+09	
2.27931867107912e+00	-3.40295264602501e-01	3.87153245734636e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.19669031663272e-01	1.53041617737750e-02	1.97538547713184e+01	-9.37797436353787e-01	-6.00206503990317e-01	8.24046204200386e-01	8.24046204200386e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978968991749e+03	1.30979098793553e+01	7.38934963975868e+00	-7.46642347342190e+00	2.14861378019937e+00	3.87153245734636e+00	9.34153413431150e-01	6.08062885898114e+00	5.92042751580282e+00	2.97858115912742e+00	0.00000000000000e+00	5.65986208031704e-01	4.82873290158854e+00	1.00000000000000e+00	2.73680444819001e+00	1.43689080761703e+00	1.12849707792734e+09	
1.32013939547470e+00	-6.13443279544690e-02	1.61203438854665e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.18871543104787e-01	4.67491099638330e-02	1.72923671754312e+01	9.18930904775859e-01	-8.07336912351564e-01	8.24779749939808e-01	8.24779749939808e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978895637175e+03	1.30537157397075e+01	6.76093016849952e+00	-8.49742076315081e+00	1.31765624850189e+00	1.61203438854665e+00	6.08553413483226e+00	2.99718281750355e+00	4.70653081114317e+00	4.39650760741523e-01	0.00000000000000e+00	4.21784930710247e-01	1.77836635963468e-01	1.00000000000000e+00	2.31112127301994e+00	1.90642725163013e+00	1.12849707794197e+09	
1.30683130136638e+00	1.49351271330936e-01	1.42918021104691e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	9.77437592788600e-03	6.98426397605134e-01	1.37723430010083e+01	3.48573849891175e-01	-7.87777006766392e-01	8.25627843274560e-01	8.25627843274560e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978810827842e+03	1.07114445525566e+01	6.62878434144833e+00	-6.23930102859382e+00	1.29228341312247e+00	1.42918021104691e+00	2.18258277596196e+00	5.64739637524002e+00	1.63305111559164e-01	1.43135821291376e+00	0.00000000000000e+00	6.63752938680810e-01	1.86928217141499e+00	1.00000000000000e+00	2.93433591513910e+00	8.32905884210440e-01	1.12849707784200e+09	
2.52346508313075e+00	9.73550681738051e-01	8.18765058815588e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.92570899468646e-01	8.76781983852219e-01	1.44044107119989e+01	-2.87007882539702e-01	-8.25482176842143e-01	8.26732566912142e-01	8.26732566912142e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978700355478e+03	1.46280889808253e+01	7.50875611273219e+00	-8.83763120300124e+00	1.41911365802759e+00	8.18765058815588e-01	2.62563152538614e+00	3.72840064992126e+00	5.39003698987393e+00	2.62448206674124e+00	0.00000000000000e+00	2.21225082604366e-01	1.53922490497574e+00	1.00000000000000e+00	1.81986420202260e+00	1.74075270774982e+00	1.12849707796243e+09	
1.31410842175966e+00	-1.25856796333575e-01	1.09327969970419e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.15862696270012e-01	8.85597897649178e-01	1.96911090433816e+01	-6.39672920323472e-01	-1.16714890211576e+00	8.27694300041003e-01	8.27694300041003e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978604182165e+03	1.32066078543086e+01	7.20401879590312e+00	-8.93008518941138e+00	1.30371445780903e+00	1.09327969970419e+00	3.48716383537323e+00	1.80599332760324e+00	5.73275426935433e+00	1.30023218202034e+00	0.00000000000000e+00	1.50268703443045e-01	6.24905149182166e+00	1.00000000000000e+00	8.10100709597935e-01	2.78285885351315e+00	1.12849707794779e+09	
2.02326233987676e+00	-8.55977717606690e-01	1.64327101097197e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.66460179100113e-01	7.44318605228089e-01	1.97114485988811e+01	2.92216424384200e-01	1.24812555780707e+00	8.29150810134252e-01	8.29150810134252e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978458531156e+03	1.20845335160588e+01	6.98598873035747e+00	-6.68127463635512e+00	1.32620888662534e+00	1.64327101097197e+00	1.14101738479761e+00	3.28782371473556e+00	3.97193428214594e+00	2.79879541837761e-01	0.00000000000000e+00	6.14410702410809e-01	5.01263495659230e+00	1.00000000000000e+00	2.31571962516820e+00	9.61692487470189e-01	1.12849707796826e+09	
1.87772410236780e+00	-5.59373557159226e-01	2.52647861720188e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.39937026763830e-02	8.14469688815474e-01	1.62610133245282e+01	1.55776422350979e-01	-5.28087610076386e-01	8.29434211971602e-01	8.29434211971602e-01	2.00000000000000e+01	2.00000000000000e+01	-4.00978430190972e+03	1.29070557054009e+01	6.98107747691858e+00	-9.45806405959769e+00	1.59153585792622e+00	2.52647861720188e+00	5.16162603163188e+00	4.13075418492538e+00	1.95546053231116e+00	1.01722434746692e+00	0.00000000000000e+00	7.18285294388999e-01	4.38869386819866e+00	1.00000000000000e+00	8.23498879644694e-01	1.74801547331657e+00	1.12849707790123e+09	
