H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	L1_cplx_snr_amp	L1_cplx_snr_arg	L1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	SKY_FRAME	a1	a2	azimuth	mc	cosalpha	costheta_jn	dec	deltalogL	deltaloglH1	deltaloglL1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	t0	tilt1	tilt2	time	
2.11157863663794e+00	3.51314079085206e-01	2.04645956146897e+00	2.86539496798667e+00	-3.47001135572877e-01	2.37695118153515e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.49559066344150e-01	1.89742893418378e-01	1.04516833726841e+00	2.10294504632459e+01	-2.68258185846148e-01	2.68126930480415e-01	2.50775186954252e-01	5.54332875770615e+00	1.96332499206847e+00	3.58000376563814e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11031984878440e+03	1.34788247448861e+01	7.16442554227220e+00	-1.26239069763370e+01	3.33560866776575e+00	3.13654167135224e+00	5.87718851832517e+00	5.45715989977788e+00	1.18056007231432e+00	4.18952868163019e-01	0.00000000000000e+00	9.82017649905689e-01	2.12192755025821e+00	1.00000000000000e+00	1.12761870432182e+09	1.74587160143371e+00	1.45033031266867e+00	1.12761870431140e+09	
2.84470792220880e+00	2.12505831946438e-01	1.81606434180165e+00	2.22457456982440e+00	-3.43874980666165e-01	1.78131110367122e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.52423925923642e-01	2.79468028553933e-01	4.88538070746970e+00	1.55026249127384e+01	-7.15361448456229e-01	-8.23425386429934e-01	-1.37129603370827e-01	5.54504938721766e+00	3.40091719597785e+00	2.14413219123980e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11031812815489e+03	1.35647265757859e+01	7.34712838151286e+00	-1.42091173850536e+01	3.45171227682902e+00	2.54384727167844e+00	2.31171531044926e-01	9.91552003212075e-01	4.48936727020409e+00	1.08772127144499e+00	0.00000000000000e+00	3.50488106720566e-01	3.99930969611752e+00	1.00000000000000e+00	1.12761870429925e+09	1.04377074933236e+00	2.65048436754261e+00	1.12761870430183e+09	
3.00327565363957e+00	3.88937768430608e-01	2.17831956320674e+00	2.01992545195399e+00	-2.83666702695991e-01	2.11346762968665e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	4.41891683726684e-01	6.50734875423898e-01	6.06070857323804e+00	1.42211489977401e+01	-1.39359845648147e-01	-7.79243353308541e-01	-8.16282428788622e-01	5.54600737530927e+00	3.68094265140690e+00	1.86506472390283e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11031717016680e+03	1.46104134197670e+01	7.21639382003666e+00	-1.43476524323684e+01	3.34484001004807e+00	3.03509827537471e+00	3.15572705322357e+00	1.67193918094825e+00	5.70588038518640e-02	3.86604686227120e-01	0.00000000000000e+00	1.62019897223682e-01	2.83240932800865e+00	1.00000000000000e+00	1.12761870431859e+09	2.48191072396397e+00	1.71844877237287e+00	1.12761870429993e+09	
1.38223605484995e+00	-1.11056956225986e+00	1.29653037549427e+00	3.72276819416752e+00	3.09334731816721e-01	2.37112697262743e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	3.07731549139701e-01	3.73578558911189e-01	2.15497356917413e+00	1.96477801302435e+01	7.87309114168403e-01	4.53506559824783e-01	1.60890270301715e-01	5.55253798979084e+00	-4.45270836803500e-02	5.59706507347164e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11031063955232e+03	1.31969001847774e+01	6.99632208578380e+00	-1.36146737291972e+01	3.40585625417504e+00	2.70244965446178e+00	5.59272707357497e+00	4.57344335380186e-01	6.08573356831445e+00	2.93200596227320e+00	0.00000000000000e+00	8.01974295430228e-01	5.65000302400284e-01	1.00000000000000e+00	1.12761870435694e+09	1.08393979240072e+00	2.10488426642025e+00	1.12761870435889e+09	
1.43773700354758e+00	-1.20668578165020e+00	2.36153365779551e+00	4.34334091775295e+00	-7.55800032782320e-02	2.21224931181596e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.16583584864228e-01	2.46267079195541e-01	7.56799034229509e-01	2.07298433924780e+01	-6.36751059408220e-02	2.53740122406790e-01	-9.61573552414850e-02	5.55479398858824e+00	-1.57930487455315e+00	7.13409886314184e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11030838355352e+03	1.50109084427093e+01	7.26025263117902e+00	-1.33004304371828e+01	3.33456560522699e+00	3.23587518834259e+00	3.90840347135304e+00	2.33909677745022e+00	3.00852330943644e+00	1.97258760537311e+00	0.00000000000000e+00	1.94331713359178e-01	2.06353390389494e+00	1.00000000000000e+00	1.12761870434240e+09	2.07435153245299e+00	2.15445090996254e+00	1.12761870432633e+09	
1.80352153277221e+00	2.94497556975138e-01	2.08801925722813e+00	2.88163212078269e+00	-2.39966255746630e-02	3.06210152302127e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	6.32732822968403e-01	2.63122227792640e-02	5.25582760988426e+00	1.72035689671347e+01	-7.72007280448819e-01	-4.19183113136962e-01	-1.76677918306820e-01	5.55682797830104e+00	1.42375117347137e+00	4.13307680483013e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11030634956381e+03	1.34456157886755e+01	6.55276429135897e+00	-1.42032714323803e+01	3.35243779068855e+00	3.70625014750013e+00	1.01834504999127e+00	2.51856819554068e+00	8.75186637534788e-01	2.70775395858208e+00	0.00000000000000e+00	3.03438774469480e-01	3.73863750936463e+00	1.00000000000000e+00	1.12761870422836e+09	2.40181138115455e+00	1.15117527844425e+00	1.12761870422663e+09	
1.86755509902459e+00	8.95654011583000e-03	1.61837906054345e+00	3.34340234537793e+00	-3.59450388607251e-01	1.67834470325479e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	1.13832222169090e-01	2.68580464114433e-01	4.16227335306367e+00	1.44809885828923e+01	6.84758211444311e-01	-5.13727178361840e-02	-4.03774215906444e-01	5.55705485625367e+00	1.71271544732008e+00	3.84433940893450e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11030612268585e+03	1.44001951132338e+01	6.83970669188566e+00	-1.39125352952120e+01	3.54920652115252e+00	2.33152133306752e+00	4.72656841104081e-01	1.35348293612714e+00	4.67044065800771e+00	1.16408013213048e+00	0.00000000000000e+00	1.55825871490665e-01	5.74862599317120e+00	1.00000000000000e+00	1.12761870431015e+09	2.40351121874062e+00	1.53551370393661e+00	1.12761870431593e+09	
1.93793324227830e+00	9.83424241437240e-02	2.94708915637378e+00	3.60360521738229e+00	-5.59887119902904e-01	2.11405129553573e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	1.20906181696161e-01	8.82075290106902e-01	3.97954294434539e+00	1.72456668575364e+01	-2.35099565037703e-01	3.26237243971227e-01	1.60680746817719e-01	5.56141409104839e+00	1.34099957580338e+00	4.22041451524547e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11030176345106e+03	1.44270590002973e+01	6.85921387656576e+00	-1.41653333177560e+01	3.34683102567524e+00	3.62691981931945e+00	4.27349574773629e+00	1.52782299087714e+00	3.83302586586780e+00	1.97108112238820e+00	0.00000000000000e+00	1.92649268840482e-01	4.89764574437322e+00	1.00000000000000e+00	1.12761870432008e+09	2.01416474722539e+00	9.30843431357960e-01	1.12761870433618e+09	
1.76604130001582e+00	1.07891593392883e-01	2.22089857588482e+00	3.58015099293762e+00	-8.00798073624060e-02	1.45273041950509e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	1.81377091544274e-01	1.23877173605135e-01	1.39367934431044e+00	2.12926144746203e+01	7.17818196007320e-01	9.59627694842848e-01	-3.50079152774590e-02	5.56231106099403e+00	1.43319713746450e+00	4.12911392352999e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11030086648111e+03	1.56273361723431e+01	7.33504193288507e+00	-1.24418927572372e+01	3.42287092054280e+00	2.65383046860998e+00	3.13132720739127e+00	5.08513003355249e+00	1.22078806896727e+00	1.74482568525871e+00	0.00000000000000e+00	1.57790745949684e-01	1.03048925612521e+00	1.00000000000000e+00	1.12761870423266e+09	1.81651628056948e+00	1.46423471525676e+00	1.12761870422508e+09	
1.51885774583949e+00	-4.80823438325364e-01	2.26923363697741e+00	4.18599379455234e+00	5.59347052854083e-01	1.99151161389496e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	3.95949115148912e-01	7.05089975603249e-01	5.33885580561264e+00	1.73837854469007e+01	-2.10284845410482e-01	4.89825888129969e-01	-8.33851318472912e-01	5.56406760978825e+00	4.81132658024762e-01	5.08293495176440e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11029910993232e+03	1.43385269196768e+01	6.84014433003092e+00	-1.36594662774957e+01	3.35249520443861e+00	3.01919522513338e+00	5.06632264606528e+00	5.93556036184240e+00	4.30716296376752e-01	2.98353321639542e+00	0.00000000000000e+00	1.91688526109938e-01	3.91377859975222e+00	1.00000000000000e+00	1.12761870432683e+09	1.29473460400561e+00	2.37592359307373e+00	1.12761870431784e+09	
1.52744538293139e+00	8.46355174669900e-02	2.00343729180402e+00	3.66753333017132e+00	-3.49953602747883e-01	1.76468030070835e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.91574229125577e-01	2.71635876850420e-01	5.94152480167923e+00	1.93679705934460e+01	-2.28545466676832e-01	1.05825568205736e-01	-7.94562603741733e-01	5.56500418637825e+00	1.04230693465570e+00	4.52269725172300e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11029817335573e+03	1.39603445302807e+01	7.53395371205383e+00	-1.40983423053204e+01	3.41932602670604e+00	2.66980477673914e+00	2.59650321543274e+00	1.78818834141101e+00	2.55763972899684e+00	1.16327647670316e+00	0.00000000000000e+00	6.04529222410260e-01	3.04417683947039e+00	1.00000000000000e+00	1.12761870433204e+09	8.47633978609681e-01	1.29685493608532e+00	1.12761870431506e+09	
1.49827446114415e+00	-3.73461170395130e-01	2.33728148318058e+00	3.42904294020414e+00	-2.24701866376213e-01	2.29380946853612e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	5.36256329190243e-01	2.86845442655309e-01	4.61472535073912e+00	1.93080388741146e+01	8.53166264277803e-01	3.90183904109378e-01	-6.98562543075039e-01	5.56611642061216e+00	5.29062098229588e-01	5.03705432238257e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11029706112150e+03	1.42158160133678e+01	7.03162612858320e+00	-1.39270629010399e+01	3.33708094836538e+00	3.27482008812160e+00	8.52527375156983e-01	3.32746169515421e+00	2.68412091611172e+00	5.79487370308226e-01	0.00000000000000e+00	1.87353646909164e-01	6.04522154389004e+00	1.00000000000000e+00	1.12761870423972e+09	1.48400546343730e+00	2.69839430917312e+00	1.12761870423766e+09	
1.86502774603801e+00	3.19322242732080e-02	1.74179341196243e+00	3.14332208054297e+00	3.98202358775725e-01	2.05253455948010e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.87013710568946e-01	8.22719608956752e-01	4.24535337742761e+00	2.20801678967601e+01	6.80593646096986e-01	1.86908154174075e-01	-4.60908200246304e-01	5.57045297253353e+00	1.72991484643308e+00	3.84053812610091e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11029272456957e+03	1.45893773286614e+01	7.30732619846488e+00	-1.42052147581788e+01	3.41526794469945e+00	2.69197741591863e+00	2.89336168358609e-01	5.81468470332259e+00	2.21757454975713e+00	1.36104748359590e+00	0.00000000000000e+00	3.60537110782131e-01	5.72518422499157e+00	1.00000000000000e+00	1.12761870424044e+09	1.03178334958947e+00	1.64566755163366e+00	1.12761870424526e+09	
1.85928496463626e+00	2.95913519977512e-01	1.16344836764663e+00	4.42573583445349e+00	4.81689391220874e-01	1.27225999488665e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	8.27898055109862e-01	3.13920438599065e-01	4.11571185643909e+00	2.11559646876275e+01	6.14544807087316e-01	5.24486447210665e-01	-3.41326060679391e-01	5.57302373172388e+00	1.39235577690033e+00	4.18066795482446e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11029015381038e+03	1.56042987881260e+01	7.32472524808347e+00	-1.46018502828882e+01	4.09457983256782e+00	1.72402366537371e+00	2.42278584016925e-01	5.73880645191547e+00	2.36348141844876e+00	2.91749143317854e+00	0.00000000000000e+00	1.18302472712711e-01	5.66615038031180e+00	1.00000000000000e+00	1.12761870430663e+09	2.32024186736110e+00	1.92022461404962e+00	1.12761870431411e+09	
1.96230368322138e+00	-2.21258050461675e-01	2.28142295259709e+00	3.23771290164939e+00	3.69329615654496e-01	1.79427916016525e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.98539857799133e-01	2.51158287287540e-02	4.95478071780699e-01	2.00565962010278e+01	1.84258705648513e-01	2.37392103848431e-01	-4.41181115137945e-01	5.57317756067823e+00	1.76526339591055e+00	3.80791416476768e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11028999998143e+03	1.56553071483711e+01	7.35588727631604e+00	-1.35690333962407e+01	3.37138503089726e+00	2.90246936129223e+00	5.47530819950299e+00	1.44698644791214e+00	3.17889009331202e+00	9.46896570236460e-01	0.00000000000000e+00	1.24370687974141e-01	1.95579149999954e+00	1.00000000000000e+00	1.12761870422716e+09	9.45806135100198e-01	1.82865548367641e+00	1.12761870420747e+09	
1.16023778885900e+00	5.66953130890069e-01	1.67385216180669e+00	3.26880498102385e+00	2.65202580007730e-02	3.20417691610217e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.84395595675786e-01	7.97978668715032e-01	3.01005389711278e+00	2.04795419787958e+01	8.58156237040091e-01	-9.76643864700695e-01	-2.25252180926600e-03	5.57409428143183e+00	2.37322705224415e-01	5.33677157620787e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11028908326068e+03	1.44146045466860e+01	7.34619376866861e+00	-1.41996331959577e+01	3.34943790133983e+00	3.61504229149078e+00	1.23874602432561e+00	3.80998192405846e+00	2.99858433573284e+00	2.79546410757688e-01	0.00000000000000e+00	2.94448339234015e-01	1.03200434596076e-01	1.00000000000000e+00	1.12761870423849e+09	2.39114361312738e+00	2.07770617418507e+00	1.12761870424453e+09	
3.09481739510087e+00	-7.62808083617473e-01	2.29441936106475e+00	2.65505147172161e+00	-3.61171294446057e-01	2.34916131879042e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	2.99319300045236e-01	4.68822731631066e-01	4.94714805821512e+00	1.39255294163509e+01	-7.59750655540724e-01	-6.55511786585331e-01	-1.07120504615078e-01	5.57645124879491e+00	2.50098479278495e+00	3.07546645601087e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11028672629331e+03	1.29797146180255e+01	6.79102661554246e+00	-1.28541439730022e+01	3.34007128876295e+00	3.28373554144209e+00	3.32290427319523e+00	3.90450690049222e+00	1.73490956768998e+00	8.84546484029718e-01	0.00000000000000e+00	7.53342083420114e-01	3.92692120616111e+00	1.00000000000000e+00	1.12761870430098e+09	1.57684875397235e+00	1.67310105718590e+00	1.12761870430303e+09	
9.40302233969074e-01	1.87331042507465e-01	1.61278879121907e+00	3.93428238954431e+00	5.13645369497980e-01	2.44395947626472e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	7.76726418507077e-01	5.55085923050366e-01	3.48063625982062e+00	1.81690654453126e+01	8.82313925566140e-01	5.09277240274417e-01	-1.83530099753772e-01	5.57743393382862e+00	1.89433424054641e-01	5.38800050977443e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11028574360828e+03	1.41519149022472e+01	7.02568785533264e+00	-1.44995803557875e+01	3.36883968222589e+00	2.92814371346524e+00	6.19684508848467e+00	6.12463291646378e+00	1.27830501149427e+00	1.16555665582160e+00	0.00000000000000e+00	2.28998109065375e-01	6.23610147439900e+00	1.00000000000000e+00	1.12761870433280e+09	1.73463294116683e+00	2.56527116917624e+00	1.12761870433788e+09	
1.78850461994313e+00	-2.62909452971429e-01	2.63205793828054e+00	3.49734817866229e+00	-3.19611783543945e-01	1.89584456402187e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.00000000000000e+00	3.31427393453433e-01	3.60407599763183e-01	1.55801561761462e+00	1.79025808050624e+01	3.40221514166293e-01	-3.92228122346245e-01	3.64143518326230e-01	5.57935914277641e+00	1.08182561457352e+00	4.49753352820335e+00	2.00000000000000e+01	2.00000000000000e+01	-8.11028381839933e+03	1.36078068829727e+01	6.76759252495939e+00	-1.43529829538715e+01	3.34190845334800e+00	3.24375640290650e+00	6.00800963188456e+00	3.02218473718023e+00	6.24846194400025e-01	1.01584312267979e+00	0.00000000000000e+00	3.64420651278375e-01	1.29012484781919e+00	1.00000000000000e+00	1.12761870435537e+09	1.74140756698333e+00	7.70723989048052e-01	1.12761870435138e+09	
