H1_cplx_snr_amp	H1_cplx_snr_arg	H1_optimal_snr	LAL_AMPORDER	LAL_APPROXIMANT	LAL_PNORDER	a1	a2	mc	costheta_jn	dec	deltalogL	deltaloglH1	f_ref	flow	logL	logPrior	logdistance	logw	matched_filter_snr	optimal_snr	phi_orb	phi12	phi_jl	psi	psdScaleFlag	q	ra	signalModelFlag	tilt1	tilt2	time	
1.66760066031005e+00	-1.11227471802731e-01	1.20518050890739e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	4.87346819624536e-01	2.46698823023439e-01	2.09643386195029e+01	9.64564855926283e-01	1.49129085569200e-01	1.27111067199394e+00	1.27111067199394e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92361857890058e+03	1.60099698548652e+01	7.56729110787003e+00	-9.38448041655307e+00	1.65729588784156e+00	1.20518050890739e+00	5.41346857538568e+00	5.75525355374793e+00	2.67893314589650e+00	2.51709075433192e+00	0.00000000000000e+00	1.28840660245528e-01	1.79751615817699e+00	1.00000000000000e+00	1.21126718806290e+00	1.34317198415845e+00	1.12909754293442e+09	
2.08299176462162e+00	-5.26121650415187e-01	9.65003417818774e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	6.10909637962303e-01	8.03360912416750e-02	1.76407853864740e+01	-3.57312914120448e-01	-4.80463742931004e-01	1.27263567360478e+00	1.27263567360478e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92361705389897e+03	1.42891292271175e+01	7.21226948433239e+00	-6.23930102859382e+00	1.80129048219828e+00	9.65003417818774e-01	2.19884122347098e+00	4.92711836112107e+00	4.17481623950953e+00	9.60689083979688e-01	0.00000000000000e+00	1.21245043777476e-01	6.01537952976651e+00	1.00000000000000e+00	4.32728096257998e-01	7.55313017407598e-01	1.12909754277416e+09	
1.92274346982964e+00	5.55666612544354e-01	1.28345585797581e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	8.64184251189543e-01	8.75639836629729e-01	1.81586219130350e+01	-2.91829275397631e-01	5.85048833171502e-01	1.27285044808377e+00	1.27285044808377e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92361683912449e+03	1.12911811436340e+01	7.36139318144634e+00	-9.38282752903766e+00	1.63346476214332e+00	1.28345585797581e+00	5.94634202657771e+00	4.25096070114560e+00	1.25922826906883e+00	3.12716216638043e+00	0.00000000000000e+00	8.53750945471837e-01	4.61586905169881e+00	1.00000000000000e+00	2.99272917012409e-01	2.76424824837598e+00	1.12909754282004e+09	
1.83172507144390e+00	4.87497477565421e-01	1.40832165172203e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.29398377111557e-01	4.78542389373859e-01	2.19593965128770e+01	1.91107556602735e-01	-9.37526887958680e-02	1.28746321560948e+00	1.28746321560948e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92360222635696e+03	1.34159645455796e+01	6.73813616697473e+00	-9.67816099811514e+00	1.61834347301085e+00	1.40832165172203e+00	3.06802251901255e-01	4.56842479130406e+00	3.71821257950432e+00	2.74340694309377e+00	0.00000000000000e+00	1.47904761641729e-01	1.84472720995374e+00	1.00000000000000e+00	2.07660178499086e+00	1.99715200180406e-01	1.12909754287595e+09	
1.78722117856641e+00	-4.68995210299730e-02	1.00651020751242e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	7.62533031019961e-01	5.42866470237920e-02	1.71018348524718e+01	-7.18857490303580e-02	9.25056097934381e-01	1.29034697218594e+00	1.29034697218594e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92359934260039e+03	1.35176731667375e+01	7.36754759281133e+00	-8.53493286612673e+00	1.78525598417953e+00	1.00651020751242e+00	1.87681597598472e+00	5.08546607358807e+00	4.64241482496642e-01	2.86750693779613e+00	0.00000000000000e+00	5.76126022663045e-01	2.43593587796231e+00	1.00000000000000e+00	1.40679266850727e+00	1.69014194319960e+00	1.12909754286491e+09	
2.06056108559323e+00	-5.49800475231098e-01	2.45967261295327e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.06241729234666e-01	8.36373179534172e-01	1.44925209814713e+01	-5.53601029874941e-01	-7.96636369444316e-01	1.29638866989489e+00	1.29638866989489e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92359330090268e+03	1.32240765007173e+01	6.87363901270624e+00	-9.69808350321516e+00	1.75689371365666e+00	2.45967261295327e+00	2.89123151020283e+00	3.09521335049028e+00	9.62593477317120e-01	1.18784355005992e+00	0.00000000000000e+00	3.35634614722777e-01	1.54083122285292e+00	1.00000000000000e+00	2.25013527068129e+00	2.08021195071643e+00	1.12909754278738e+09	
1.61671128657610e+00	2.48250135165770e-02	1.62657479479821e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	2.32021284202043e-01	4.82860988706565e-01	1.66592979907389e+01	4.98642472906117e-01	-5.25939573024349e-01	1.30601877126264e+00	1.30601877126264e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92358367080131e+03	1.48114076220908e+01	7.58461669415872e+00	-9.29557659470821e+00	1.61621313769665e+00	1.62657479479821e+00	3.16447536251779e+00	2.91817795810834e+00	2.97401773896159e+00	1.77349455418733e+00	0.00000000000000e+00	1.76267196075750e-01	4.21757380991338e+00	1.00000000000000e+00	1.21412790973903e+00	2.50459418557202e+00	1.12909754289304e+09	
1.91484722872404e+00	-5.34882192202845e-01	1.33217810857301e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	5.65857556247140e-02	3.34055804727961e-01	1.67926969314108e+01	1.35630657829036e-01	-1.25666792756780e+00	1.30727829687976e+00	1.30727829687976e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92358241127569e+03	1.25243456862836e+01	7.56539288338909e+00	-9.29928184583958e+00	1.64739800124102e+00	1.33217810857301e+00	5.74493260319758e+00	4.99144298284985e+00	1.26785475356853e+00	1.38197557134050e-01	0.00000000000000e+00	7.62559573239342e-01	4.91227076397074e-01	1.00000000000000e+00	1.41881135772205e+00	2.21500083642731e+00	1.12909754275364e+09	
3.46408050939486e+00	-7.56402183944255e-01	5.87805696336407e-01	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	3.22918860296826e-01	2.79634919777854e-01	1.90177501105485e+01	1.10692346270890e-02	7.66024072377630e-01	1.30819525466040e+00	1.30819525466040e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92358149431791e+03	1.24915667030539e+01	6.56358251257905e+00	-6.23930102859382e+00	2.51946014169911e+00	5.87805696336407e-01	2.28713989618458e+00	8.27605459754771e-01	3.00274668961002e+00	8.20424340585976e-01	0.00000000000000e+00	8.97688562144082e-01	2.66715580956340e+00	1.00000000000000e+00	1.89121573898104e+00	1.76555379509552e+00	1.12909754285433e+09	
1.89012368951280e+00	1.47788209303251e-01	2.80540458925139e+00	-1.00000000000000e+00	5.60000000000000e+01	8.00000000000000e+00	1.93145625107015e-01	7.40194396677496e-01	1.76865985507961e+01	5.75264226089392e-01	1.33967675816492e+00	1.30961197427132e+00	1.30961197427132e+00	2.00000000000000e+01	2.00000000000000e+01	-3.92358007759830e+03	1.16557273738068e+01	7.43059041805461e+00	-9.55202066349131e+00	1.86951980083814e+00	2.80540458925139e+00	2.45083431066213e+00	1.32196130656120e+00	3.67671213335997e+00	2.89711960272892e+00	0.00000000000000e+00	5.06726056037478e-01	1.21985323546004e+00	1.00000000000000e+00	1.28383889608013e+00	3.36664386725131e-01	1.12909754293343e+09	
