File 	 GPStime 	 Lincoh32
posterior_L1_1126796497.07-392.hdf5	1126796497.07	12.1884185146
posterior_L1_1128169326.19-580.hdf5	1128169326.19	7.31067052056
posterior_L1_1126910950.71-607.hdf5	1126910950.71	7.36879431645
posterior_L1_1127699470.58-447.hdf5	1127699470.58	10.1192913586
posterior_L1_1128761243.95-407.hdf5	1128761243.95	7.3364811984
posterior_L1_1129117794.69-470.hdf5	1129117794.69	6.2174641047
posterior_L1_1128934599.22-615.hdf5	1128934599.22	6.69064486818
posterior_L1_1127220379.28-345.hdf5	1127220379.28	10.3246659199
posterior_L1_1128761572.64-414.hdf5	1128761572.64	7.85690103576
posterior_L1_1126074827.15-368.hdf5	1126074827.15	13.0298403232
posterior_L1_1128688216.65-315.hdf5	1128688216.65	6.96583528637
posterior_L1_1127564634.87-397.hdf5	1127564634.87	9.95641991754
posterior_L1_1126759521.57-457.hdf5	1126759521.57	7.45623300648
posterior_L1_1127010131.28-494.hdf5	1127010131.28	5.29796157435
posterior_L1_1127434694.13-434.hdf5	1127434694.13	7.24515191185
posterior_L1_1126559715.17-376.hdf5	1126559715.17	11.0767655633
posterior_L1_1128134491.19-511.hdf5	1128134491.19	7.5433908515
posterior_L1_1127187088.53-381.hdf5	1127187088.53	7.63180411913
posterior_L1_1127044136.03-588.hdf5	1127044136.03	6.96439009358
posterior_L1_1128250977.33-476.hdf5	1128250977.33	6.98558475481
posterior_L1_1128640338.16-525.hdf5	1128640338.16	6.44835182304
posterior_L1_1129074846.18-417.hdf5	1129074846.18	10.8113415655
posterior_L1_1128998665.83-462.hdf5	1128998665.83	5.56638240354
posterior_L1_1129251773.02-492.hdf5	1129251773.02	6.44161861396
posterior_L1_1128057894.95-460.hdf5	1128057894.95	6.39858654788
posterior_L1_1127406380.06-611.hdf5	1127406380.06	5.90422678302
posterior_L1_1126659549.62-318.hdf5	1126659549.62	6.15137090712
posterior_L1_1128229543.99-578.hdf5	1128229543.99	7.20576206909
posterior_L1_1129080224.54-510.hdf5	1129080224.54	6.36231977137
posterior_L1_1127990409.96-606.hdf5	1127990409.96	10.4458535596
posterior_L1_1128240966.51-351.hdf5	1128240966.51	9.96549268295
posterior_L1_1126403558.96-390.hdf5	1126403558.96	6.78372367682
posterior_L1_1127433122.83-499.hdf5	1127433122.83	5.53117188115
posterior_L1_1128682542.16-517.hdf5	1128682542.16	8.52334625991
posterior_L1_1128624004.9-620.hdf5	1128624004.9	6.30908530746
posterior_L1_1128761549.3-335.hdf5	1128761549.3	7.92803225754
posterior_L1_1128051935.27-521.hdf5	1128051935.27	6.37484645453
posterior_L1_1128273239.03-562.hdf5	1128273239.03	8.84603382267
posterior_L1_1126627775.49-363.hdf5	1126627775.49	7.86207792253
posterior_L1_1127370445.59-622.hdf5	1127370445.59	8.29113743772
posterior_L1_1129105774.02-389.hdf5	1129105774.02	8.59367046377
posterior_L1_1126562421.57-360.hdf5	1126562421.57	7.06952147176
posterior_L1_1128658434.58-572.hdf5	1128658434.58	7.63503319337
posterior_L1_1127999992.18-375.hdf5	1127999992.18	8.56356582743
posterior_L1_1128250583.68-458.hdf5	1128250583.68	7.073436414
posterior_L1_1128755932.49-312.hdf5	1128755932.49	6.66216473545
posterior_L1_1128758349.11-508.hdf5	1128758349.11	7.97270108912
posterior_L1_1128737615.34-555.hdf5	1128737615.34	8.43138233455
posterior_L1_1127239888.6-346.hdf5	1127239888.6	6.25161610391
posterior_L1_1128681523.31-544.hdf5	1128681523.31	10.8301092674
posterior_L1_1127033331.87-564.hdf5	1127033331.87	7.73140159207
posterior_L1_1127072188.19-422.hdf5	1127072188.19	8.12562931072
posterior_L1_1129067990.67-387.hdf5	1129067990.67	7.70840158911
posterior_L1_1128914870.52-384.hdf5	1128914870.52	8.17361429894
posterior_L1_1126690215.06-409.hdf5	1126690215.06	10.2807633153
posterior_L1_1126742304.84-374.hdf5	1126742304.84	9.38014792595
posterior_L1_1128148413.1-482.hdf5	1128148413.1	8.11545644716
posterior_L1_1128657044.22-340.hdf5	1128657044.22	8.64538667011
posterior_L1_1127666650.08-332.hdf5	1127666650.08	10.7708971278
posterior_L1_1128740991.91-538.hdf5	1128740991.91	7.61421974632
posterior_L1_1127458533.8-463.hdf5	1127458533.8	9.9956985096
posterior_L1_1128273386.61-465.hdf5	1128273386.61	6.91449496381
posterior_L1_1128230000.75-589.hdf5	1128230000.75	9.1654615223
posterior_L1_1128343287.36-355.hdf5	1128343287.36	7.3112018222
posterior_L1_1129069137.67-605.hdf5	1129069137.67	7.9297236285
posterior_L1_1127183208.07-534.hdf5	1127183208.07	11.1177133794
posterior_L1_1127240358.58-524.hdf5	1127240358.58	7.10323734925
posterior_L1_1129040988.14-383.hdf5	1129040988.14	9.59123910991
posterior_L1_1128991246.34-438.hdf5	1128991246.34	9.2256840668
