File 	 GPStime 	 HCoh32	 LCoh32
posterior_H1L1_1127787846.61-439.hdf5	1127787846.61	4.66960096019	5.38477687377
posterior_H1L1_1128703355.55-479.hdf5	1128703355.55	6.54342700479	5.99101762701
posterior_H1L1_1129043244.3-455.hdf5	1129043244.3	5.85850179193	5.99739773766
posterior_H1L1_1127259415.1-493.hdf5	1127259415.1	5.82227776081	5.42863786784
posterior_H1L1_1127048190.05-610.hdf5	1127048190.05	4.69130683289	5.94623580942
posterior_H1L1_1128630031.13-549.hdf5	1128630031.13	6.53149583416	6.47125292973
posterior_H1L1_1127044136.03-588.hdf5	1127044136.03	5.71011536292	5.55536409894
posterior_H1L1_1126109425.59-609.hdf5	1126109425.59	5.92833120729	6.07013952379
posterior_H1L1_1127620166.41-548.hdf5	1127620166.41	6.41439557926	6.52496103467
posterior_H1L1_1129041370.3-367.hdf5	1129041370.3	7.65254829425	6.48380715275
posterior_H1L1_1127254296.83-425.hdf5	1127254296.83	5.87505171004	6.85929876663
posterior_H1L1_1126566977.35-329.hdf5	1126566977.35	5.70896137405	4.99694541904
posterior_H1L1_1126559715.17-376.hdf5	1126559715.17	8.3301327864	9.50280270739
posterior_H1L1_1127036380.99-568.hdf5	1127036380.99	8.10666360791	5.47302107108
posterior_H1L1_1127004140.55-623.hdf5	1127004140.55	5.87512748918	4.7631912387
posterior_H1L1_1127563066.44-543.hdf5	1127563066.44	6.26465091327	5.1479729335
posterior_H1L1_1128761243.95-407.hdf5	1128761243.95	6.83356955269	6.36068332767
posterior_H1L1_1128652618.37-612.hdf5	1128652618.37	7.16674907677	6.65170566716
posterior_H1L1_1129105774.02-389.hdf5	1129105774.02	6.12529604763	6.19513404293
posterior_H1L1_1126627775.49-363.hdf5	1126627775.49	7.65354715852	7.04842681158
posterior_H1L1_1128057894.95-460.hdf5	1128057894.95	6.85105104808	6.18621559271
posterior_H1L1_1127512704.75-426.hdf5	1127512704.75	5.83486945124	7.97504193265
posterior_H1L1_1128914870.52-384.hdf5	1128914870.52	5.52237418971	6.52465482288
posterior_H1L1_1128995282.66-430.hdf5	1128995282.66	6.4644493578	7.97051607884
posterior_H1L1_1128954745.38-547.hdf5	1128954745.38	6.77008878107	7.19981063965
posterior_H1L1_1127647114.66-473.hdf5	1127647114.66	5.9204549831	7.90127524133
posterior_H1L1_1128670114.12-475.hdf5	1128670114.12	6.97837657328	6.56734361968
posterior_H1L1_1127239362.6-603.hdf5	1127239362.6	6.7583436265	5.71261469758
posterior_H1L1_1127406380.06-611.hdf5	1127406380.06	7.14478244756	6.50148636294
posterior_H1L1_1129040988.14-383.hdf5	1129040988.14	6.96200801396	8.00366058725
