File 	 GPStime 	 Hincoh32
posterior_H1_1127036380.99-568.hdf5	1127036380.99	8.79025574571
posterior_H1_1127050603.11-496.hdf5	1127050603.11	7.78305630368
posterior_H1_1129249120.03-601.hdf5	1129249120.03	7.72543381467
posterior_H1_1126257549.25-349.hdf5	1126257549.25	6.52473940639
posterior_H1_1128761243.95-407.hdf5	1128761243.95	7.12953790517
posterior_H1_1127220379.28-345.hdf5	1127220379.28	7.48097934837
posterior_H1_1127394653.64-411.hdf5	1127394653.64	5.83758968177
posterior_H1_1128399614.4-558.hdf5	1128399614.4	7.93402149055
posterior_H1_1128455276.27-512.hdf5	1128455276.27	6.70399223562
posterior_H1_1128419868.36-487.hdf5	1128419868.36	6.68494769678
posterior_H1_1128057894.95-460.hdf5	1128057894.95	7.39046851325
posterior_H1_1128688216.65-315.hdf5	1128688216.65	7.13707673927
posterior_H1_1128627448.9-545.hdf5	1128627448.9	6.88955602462
posterior_H1_1128240966.51-351.hdf5	1128240966.51	7.59031179953
posterior_H1_1128657044.22-340.hdf5	1128657044.22	8.18753607062
posterior_H1_1128392318.28-444.hdf5	1128392318.28	7.73927441028
posterior_H1_1126644888.8-498.hdf5	1126644888.8	5.70345502028
posterior_H1_1128403798.24-592.hdf5	1128403798.24	7.68870608376
posterior_H1_1127611737.76-450.hdf5	1127611737.76	8.3858519026
posterior_H1_1129074352.51-559.hdf5	1129074352.51	6.40937706032
posterior_H1_1127785576.15-570.hdf5	1127785576.15	6.70356685815
posterior_H1_1127627590.64-319.hdf5	1127627590.64	6.78392658849
posterior_H1_1126988387.91-560.hdf5	1126988387.91	6.73395135598
posterior_H1_1128630031.13-549.hdf5	1128630031.13	6.85558133812
posterior_H1_1126566977.35-329.hdf5	1126566977.35	7.43162823012
posterior_H1_1127602479.45-529.hdf5	1127602479.45	6.01769404482
posterior_H1_1127522744.5-386.hdf5	1127522744.5	8.54360671958
posterior_H1_1128703355.55-479.hdf5	1128703355.55	6.25080540778
posterior_H1_1127795327.13-322.hdf5	1127795327.13	6.95108855208
posterior_H1_1129074846.18-417.hdf5	1129074846.18	6.10373652506
posterior_H1_1127370445.59-622.hdf5	1127370445.59	6.13327211584
posterior_H1_1128947771.55-489.hdf5	1128947771.55	4.94650677193
posterior_H1_1126799969.7-509.hdf5	1126799969.7	6.51948283904
posterior_H1_1126403558.96-390.hdf5	1126403558.96	6.62317422539
posterior_H1_1129348517.16-436.hdf5	1129348517.16	7.12526482658
posterior_H1_1128273386.61-465.hdf5	1128273386.61	5.55604132764
posterior_H1_1127405363.34-523.hdf5	1127405363.34	6.42553311906
posterior_H1_1127625972.1-537.hdf5	1127625972.1	5.69901235838
posterior_H1_1128706461.38-416.hdf5	1128706461.38	6.59991951002
posterior_H1_1128430632.89-477.hdf5	1128430632.89	5.22286325225
posterior_H1_1128230000.75-589.hdf5	1128230000.75	6.10295139697
posterior_H1_1127514977.75-328.hdf5	1127514977.75	6.71267780778
posterior_H1_1128134491.19-511.hdf5	1128134491.19	6.01543831771
posterior_H1_1128430997.75-452.hdf5	1128430997.75	6.62492324225
posterior_H1_1126074827.15-368.hdf5	1126074827.15	5.57047905519
posterior_H1_1128914870.52-384.hdf5	1128914870.52	4.948110857
posterior_H1_1128494876.65-567.hdf5	1128494876.65	7.74395690444
posterior_H1_1128814670.87-472.hdf5	1128814670.87	8.12905752065
posterior_H1_1127699470.58-447.hdf5	1127699470.58	9.65768545174
posterior_H1_1128426411.13-495.hdf5	1128426411.13	7.30201882537
posterior_H1_1128129991.22-480.hdf5	1128129991.22	8.11030393985
posterior_H1_1128652618.37-612.hdf5	1128652618.37	6.79207088772
posterior_H1_1128044136.39-441.hdf5	1128044136.39	8.34848446715
posterior_H1_1128995282.66-430.hdf5	1128995282.66	7.62571924173
posterior_H1_1128934599.22-615.hdf5	1128934599.22	6.58187365617
posterior_H1_1128761549.31-325.hdf5	1128761549.31	12.4490820003
posterior_H1_1127048545.6-478.hdf5	1127048545.6	8.35255871471
posterior_H1_1127613214.24-341.hdf5	1127613214.24	8.73499791423
posterior_H1_1127608000.89-437.hdf5	1127608000.89	8.07724347143
posterior_H1_1127406380.06-611.hdf5	1127406380.06	7.36063572036
posterior_H1_1126990892.29-443.hdf5	1126990892.29	8.79822529637
posterior_H1_1127707470.88-600.hdf5	1127707470.88	7.84652371578
posterior_H1_1128910873.35-484.hdf5	1128910873.35	6.38040551959
posterior_H1_1128294478.68-324.hdf5	1128294478.68	8.70034211901
posterior_H1_1128656675.0-563.hdf5	1128656675.0	8.74694313837
posterior_H1_1128682542.16-517.hdf5	1128682542.16	7.62877800846
posterior_H1_1127792310.34-339.hdf5	1127792310.34	8.43339611092
posterior_H1_1128815977.86-481.hdf5	1128815977.86	7.54529581937
