FAR	SNR	HTime	LTime	HminusL
2.48e-07	9.130000000000001	1128050418.25	1126805165.64	1250000
1.36e-07	9.220000000000001	1128044942.34	1127027976.32	1016966.01
1.96e-08	9.51	1128044136.39	1127396569.4	647566.99
1.33e-10	10.35	1127999992.18	1127981525.99	18466.19
2.37e-07	9.130000000000001	1127990409.96	1129341285.56	-1350875.6
2.3e-11	10.65	1127795327.13	1127978059.83	-182732.7
6.68e-11	10.48	1127792310.34	1127978059.83	-186000
8.880000000000001e-11	10.43	1127789138.97	1129341285.56	-1552146.59
1.7e-08	9.529999999999999	1127787846.61	1127478701.82	309144.79
1.9e-07	9.17	1127785576.15	1128214027.96	-428000
7.21e-11	10.47	1127783006.16	1127795952.07	-12900
2.09e-08	9.5	1127738037.11	1127630677.11	107000
1.73e-10	10.3	1127737863.12	1127609149.72	128713.4
1.16e-07	9.24	1127734024.76	1127255806.18	478218.59
1.53e-07	9.199999999999999	1127733689.3	1126923577.3	810000
1.54e-07	9.199999999999999	1127718903.33	1127980635.33	-261732
1.35e-10	10.35	1127711242.79	1128676396.58	-965000
2.01e-10	10.26	1127708824.65	1126107759.55	1600000
2.3e-07	9.140000000000001	1127707470.88	1129104263.88	-1400000
2.74e-08	9.460000000000001	1127699470.58	1128745796	-1046325.41
1.2e-10	10.37	1127699133.26	1129341285.56	-1642152.3
1.75e-10	10.29	1127696899.77	1127408530.99	288368.79
1.59e-07	9.19	1127695197.67	1128680248.16	-985050.5
1.53e-10	10.32	1127690546.59	1126662051.69	1030000
4.7e-11	10.55	1127666650.08	1127795952.07	-129301.99
1.7e-10	10.3	1127652973.03	1128003645.62	-350672.6
9.61e-11	10.41	1127651908.96	1126102087.56	1549821.4
1.38e-10	10.34	1127651778.66	1127563106.77	88671.89
6.26e-08	9.34	1127647114.66	1127430123.46	217000
3.76e-11	10.58	1127640626.8	1127408530.99	232095.81
1.14e-10	10.38	1127628436.96	1127795952.07	-167515.11
1.57e-11	10.69	1127627590.64	1127978059.83	-350469.19
1.47e-07	9.210000000000001	1127625972.1	1127793791.5	-167819.39
2.06e-07	9.15	1127621496.93	1127518178.12	103000
1.62e-07	9.19	1127620166.41	1126077777.12	1542389.29
9.92e-11	10.41	1127620092.28	1127408530.99	211561.29
1.67e-07	9.19	1127619322.13	1128168116.94	-549000
6.89e-11	10.48	1127613214.24	1127978059.83	-365000
2.57e-07	9.119999999999999	1127613184.2	1127712723.2	-99500
6.39e-08	9.33	1127611754.66	1127563544.77	48209.89
3.13e-08	9.44	1127611737.76	1128066160.58	-454000
1.43e-08	9.56	1127608000.89	1128419905.18	-812000
1.37e-07	9.220000000000001	1127602479.45	1128638041.26	-1040000
1.69e-10	10.3	1127564634.87	1127795952.08	-231317.21
3.18e-12	10.86	1127563746.2	1128818398.09	-1250000
1.55e-07	9.199999999999999	1127563066.44	1127204119.83	359000
2.09e-07	9.15	1127557023.8	1128498486.11	-941462.3100000001
2.53e-07	9.119999999999999	1127555078.79	1126562044.79	993000
